Id,CreatedDate,Status,ContractID,OpportunityId,Opportunity_StageName,Opportunity_TenancyId,Opportunity_Tenancy_status
a0sNz000000ooUfIAI,2024-05-02T13:35:44.000+0000,Signed,800Nz00000BmhvfIAB,006Nz000009ZyQmIAK,Closed Won,,
a0sNz000000orKTIAY,2024-05-02T15:18:57.000+0000,Cancelled / Declined,800Nz00000Bmz4cIAB,006Nz00000AVUDmIAP,Closed Won,,
a0sNz000000orh3IAA,2024-05-02T15:49:54.000+0000,Signed,800Nz00000BmzhOIAR,006Nz00000AJB8ZIAX,Closed Won,,
a0sNz000000ox6XIAQ,2024-05-03T08:21:24.000+0000,Signed,800Nz00000BokMMIAZ,006Nz000008bzXlIAI,Closed Won,,
a0sNz000000oxCzIAI,2024-05-03T08:29:07.000+0000,Expired,800Nz00000BoixIIAR,006Nz00000AdweHIAR,Closed Won,,
a0sNz000000oxXxIAI,2024-05-03T08:44:02.000+0000,Signed,800Nz00000BokixIAB,006Nz00000AYrc5IAD,Closed Won,,
a0sNz000000oyYrIAI,2024-05-03T09:49:02.000+0000,Expired,800Nz00000BouVdIAJ,006Nz00000AdWNxIAN,Closed Won,,
a0sNz000000oygvIAA,2024-05-03T10:02:17.000+0000,Expired,800Nz00000Bp5U1IAJ,006Nz000009ZegXIAS,Closed Won,,
a0sNz000000oyx3IAA,2024-05-03T10:17:25.000+0000,Signed,800Nz00000BpArqIAF,006Nz000009quQlIAI,Closed Won,,
a0sNz000000ozczIAA,2024-05-03T10:34:44.000+0000,Signed,800Nz00000Bp4FzIAJ,006Nz00000ADnOXIA1,Closed Won,,
a0sNz000000p0VpIAI,2024-05-03T11:18:05.000+0000,Signed,800Nz00000BpDHzIAN,006Nz000009y2mXIAQ,Closed Won,,
a0sNz000000p1LRIAY,2024-05-03T12:06:52.000+0000,Expired,800Nz00000BpRSzIAN,006Nz00000AIfAKIA1,Closed Won,,
a0sNz000000p1jdIAA,2024-05-03T12:36:39.000+0000,Signed,800Nz00000BpRs8IAF,006Nz00000A9ZCFIA3,Closed Won,,
a0sNz000000p1mrIAA,2024-05-03T12:41:40.000+0000,Signed,800Nz00000BpPzBIAV,006Nz00000Al4s2IAB,Closed Won,,
a0sNz000000p2CfIAI,2024-05-03T13:28:34.000+0000,Signed,800Nz00000BpX29IAF,006Nz00000AdsKaIAJ,Closed Won,,
a0sNz000000p2e5IAA,2024-05-03T13:47:45.000+0000,Cancelled / Declined,800Nz00000BpkldIAB,006Nz00000AoDypIAF,Closed Won,,
a0sNz000000p30fIAA,2024-05-03T13:57:59.000+0000,Signed,800Nz00000BpYavIAF,006Nz00000Am9KzIAJ,Closed Won,,
a0sNz000000p3BxIAI,2024-05-03T14:10:09.000+0000,Signed,800Nz00000Bpl9sIAB,006Nz00000Alz2IIAR,Closed Won,,
a0sNz000000p3a9IAA,2024-05-03T14:21:19.000+0000,Signed,800Nz00000BpiIiIAJ,006Nz000009luBIIAY,Closed Won,,
a0sNz000000p4G5IAI,2024-05-03T14:54:51.000+0000,Signed,800Nz00000Bpv4MIAR,006Nz00000AWLOYIA5,Closed Won,,
a0sNz000000p61lIAA,2024-05-03T15:24:56.000+0000,Signed,800Nz00000Bq2FWIAZ,006Nz00000AksR8IAJ,Closed Won,,
a0sNz000000p6D3IAI,2024-05-03T15:38:26.000+0000,Signed,800Nz00000BpurUIAR,006Nz00000AnXRkIAN,Closed Won,,
a0sNz000000p6EfIAI,2024-05-03T15:39:22.000+0000,Signed,800Nz00000BpriTIAR,006Nz00000A3xSRIAZ,Closed Won,,
a0sNz000000p6WPIAY,2024-05-03T15:48:32.000+0000,Signed,800Nz00000Bpq3MIAR,006Nz00000AGTt9IAH,Closed Won,,
a0sNz000000pKnuIAE,2024-05-07T08:54:37.000+0000,Signed,800Nz00000BwQx4IAF,006Nz00000ANYhfIAH,Closed Won,,
a0sNz000000pLiLIAU,2024-05-07T08:10:06.000+0000,Signed,800Nz00000BpRSzIAN,006Nz00000AIfAKIA1,Closed Won,,
a0sNz000000pML3IAM,2024-05-07T08:34:02.000+0000,Signed,800Nz00000BwgDSIAZ,006Nz00000AWXb0IAH,Closed Won,,
a0sNz000000pMcnIAE,2024-05-07T08:48:17.000+0000,Signed,800Nz00000BwgS2IAJ,006Nz00000Ay6PnIAJ,Closed Won,,
a0sNz000000pMg1IAE,2024-05-07T08:52:08.000+0000,Pre-Send,800Nz00000BwkqXIAR,006Nz00000AYZlaIAH,Closed Won,,
a0sNz000000pMhdIAE,2024-05-07T08:55:04.000+0000,Signed,800Nz00000BwgWsIAJ,006Nz00000AYZlaIAH,Closed Won,,
a0sNz000000pNgvIAE,2024-05-07T09:35:53.000+0000,Signed,800Nz00000Bwr8rIAB,006Nz00000AoDypIAF,Closed Won,,
a0sNz000000pNnNIAU,2024-05-07T09:39:46.000+0000,Signed,800Nz00000BwdihIAB,006Nz00000AO9u4IAD,Closed Won,,
a0sNz000000pQLRIA2,2024-05-07T10:47:20.000+0000,Out for Signature,800Nz00000Bx1zXIAR,006Nz00000ASXEcIAP,Closed Won,,
a0sNz000000pRarIAE,2024-05-07T11:07:11.000+0000,Signed,800Nz00000BwxpkIAB,006Nz00000AYvNtIAL,Closed Won,,
a0sNz000000pSLdIAM,2024-05-07T11:36:13.000+0000,Signed,800Nz00000BxDz1IAF,006Nz00000AUBLMIA5,Closed Won,,
a0sNz000000pSVJIA2,2024-05-07T11:44:10.000+0000,Signed,800Nz00000Bx5YZIAZ,006Nz00000AbJSaIAN,Closed Won,,
a0sNz000000pSiDIAU,2024-05-07T11:50:22.000+0000,Signed,800Nz00000BxAunIAF,006Nz00000AkjxKIAR,Closed Won,,
a0sNz000000pTZRIA2,2024-05-07T12:12:58.000+0000,Signed,800Nz00000BxGLyIAN,006Nz00000AVUDmIAP,Closed Won,,
a0sNz000000ph9NIAQ,2024-05-08T08:22:32.000+0000,Cancelled / Declined,800Nz00000BzkVpIAJ,006Nz00000ASXEcIAP,Closed Won,,
a0sNz000000pjBBIAY,2024-05-08T09:34:25.000+0000,Signed,800Nz00000BzvMlIAJ,006Nz00000ASrIBIA1,Closed Won,,
a0sNz000000pjJFIAY,2024-05-08T09:37:48.000+0000,Cancelled / Declined,800Nz00000BztPUIAZ,006Nz00000AsedrIAB,Closed Won,,
a0sNz000000pkVTIAY,2024-05-08T10:36:04.000+0000,Signed,800Nz00000C07AqIAJ,006Nz00000AaTqbIAF,Closed Won,,
a0sNz000000pmNZIAY,2024-05-08T10:56:19.000+0000,Signed,800Nz00000C04mVIAR,006Nz00000AV71CIAT,Closed Won,,
a0sNz000000pmVdIAI,2024-05-08T10:59:25.000+0000,Cancelled / Declined,800Nz00000C05YpIAJ,006Nz00000B0H5lIAF,Closed Won,,
a0sNz000000ppBlIAI,2024-05-08T11:56:10.000+0000,Signed,800Nz00000C0SALIA3,006Nz00000AsedrIAB,Closed Won,,
a0sNz000000ps9dIAA,2024-05-08T14:31:28.000+0000,Signed,800Nz00000C0me5IAB,006Nz000009lIluIAE,Closed Won,,
a0sNz000000psBFIAY,2024-05-08T14:35:59.000+0000,Signed,800Nz00000C0urMIAR,006Nz00000B0H5lIAF,Closed Won,,
a0sNz000000ptldIAA,2024-05-08T15:25:07.000+0000,Signed,800Nz00000C13YBIAZ,006Nz00000AMCw2IAH,Closed Won,,
a0sNz000000puL7IAI,2024-05-08T15:39:36.000+0000,Signed,800Nz00000C14nWIAR,006Nz00000AxmxJIAR,Closed Won,,
a0sNz000000q4sMIAQ,2024-05-09T09:27:05.000+0000,Signed,800Nz00000C2hrjIAB,006Nz00000AWGAMIA5,Closed Won,,
a0sNz000000q6e1IAA,2024-05-09T09:24:29.000+0000,Signed,800Nz00000C2bsaIAB,006Nz00000ADUYnIAP,Closed Won,,
a0sNz000000q7ILIAY,2024-05-09T09:51:31.000+0000,Signed,800Nz00000C3281IAB,006Nz00000AkaNkIAJ,Closed Won,,
a0sNz000000q7YTIAY,2024-05-09T09:54:08.000+0000,Signed,800Nz00000C2tLgIAJ,006Nz00000AmCYzIAN,Closed Won,,
a0sNz000000q9VRIAY,2024-05-09T11:03:52.000+0000,Signed,800Nz00000C2yJKIAZ,006Nz00000AH5vDIAT,Closed Won,,
a0sNz000000q9jxIAA,2024-05-09T11:17:06.000+0000,Signed,800Nz00000C38zvIAB,006Nz00000AJ7GCIA1,Closed Won,,
a0sNz000000q9tdIAA,2024-05-09T11:23:00.000+0000,Signed,800Nz00000C3BT7IAN,006Nz00000AzhjrIAB,Closed Won,,
a0sNz000000q9vFIAQ,2024-05-09T11:28:55.000+0000,Draft,800Nz00000ALIfOIAX,006Nz000009M2SbIAK,Closed Won,,
a0sNz000000q9wrIAA,2024-05-09T11:29:04.000+0000,Signed,800Nz00000ALIfOIAX,006Nz000009M2SbIAK,Closed Won,,
a0sNz000000qB93IAE,2024-05-09T12:22:55.000+0000,Signed,800Nz00000C0wl9IAB,006Nz00000AVHV3IAP,Closed Won,,
a0sNz000000qBLxIAM,2024-05-09T12:41:24.000+0000,Signed,800Nz00000C3RpaIAF,006Nz00000ASXEcIAP,Closed Won,,
a0sNz000000qDIvIAM,2024-05-09T14:10:07.000+0000,Expired,800Nz00000C3kQxIAJ,006Nz00000AbGODIA3,Closed Won,,
a0sNz000000qDqnIAE,2024-05-09T14:28:17.000+0000,Expired,800Nz00000C3q4oIAB,006Nz000009nrqnIAA,Closed Won,,
a0sNz000000qE25IAE,2024-05-09T14:31:00.000+0000,Signed,800Nz00000C3nJvIAJ,006Nz00000AER4PIAX,Closed Won,,
a0sNz000000qFe5IAE,2024-05-09T15:01:45.000+0000,Signed,800Nz00000C3mUMIAZ,006Nz00000AiYEkIAN,Closed Won,,
a0sNz000000qG3tIAE,2024-05-09T15:17:45.000+0000,Signed,800Nz00000C3sGJIAZ,006Nz00000Aj9B3IAJ,Closed Won,,
