contact__c,Tenancy__r:Contract:PMS_Reference__c,role__c,start_date__c,end_date__c,external_id__c
0034J00000aJQ17QAG,103139003007,5 Relevant Person,2021-02-05,,103139003007_0034J00000aJQ17QAG
0034J00000aJQ1MQAW,103139003007,5 Relevant Person,2021-02-05,,103139003007_0034J00000aJQ1MQAW
0034J00000a4YvuQAE,103139004003,5 Relevant Person,2008-11-06,,103139004003_0034J00000a4YvuQAE
0034J00000a4Z3cQAE,103141001001,5 Relevant Person,1990-01-01,,103141001001_0034J00000a4Z3cQAE
0038d00000Vd0L5AAJ,103141002002,5 Relevant Person,2022-08-30,,103141002002_0038d00000Vd0L5AAJ
0034J00000a4Z3wQAE,103150001001,2 Tenant,1990-04-19,,103150001001_0034J00000a4Z3wQAE
0034J00000a4YVHQA2,103154001001,2 Tenant,1976-02-02,,103154001001_0034J00000a4YVHQA2
0034J00000a4Z4VQAU,103154001001,7 Successor (Assured Periodic),1976-02-02,,103154001001_0034J00000a4Z4VQAU
0034J00000a4YzFQAU,103155001001,2 Tenant,1983-09-01,,103155001001_0034J00000a4YzFQAU
0034J00000a4YvoQAE,103156001001,2 Tenant,1955-10-01,,103156001001_0034J00000a4YvoQAE
0034J00000a4Z59QAE,103156001001,2 Tenant,1955-10-01,,103156001001_0034J00000a4Z59QAE
003Nz000000NmDdIAK,103156001001,5 Relevant Person,1955-10-01,,103156001001_003Nz000000NmDdIAK
0034J00000a4Z46QAE,103157001002,2 Tenant,1997-05-01,,103157001002_0034J00000a4Z46QAE
0034J00000a4YiCQAU,103157001002,6 Successor (Regulated),1997-05-01,,103157001002_0034J00000a4YiCQAU
0034J00000a4Z2pQAE,103157001002,4 Permitted Occupier,1997-05-01,,103157001002_0034J00000a4Z2pQAE
0034J00000a4YznQAE,103158001001,2 Tenant,1983-01-01,,103158001001_0034J00000a4YznQAE
0034J00000a4Z1VQAU,103158001001,7 Successor (Assured Periodic),1983-01-01,,103158001001_0034J00000a4Z1VQAU
0034J00000a4YdVQAU,103161001001,2 Tenant,1962-11-05,,103161001001_0034J00000a4YdVQAU
0034J00000a4YuMQAU,103161001001,7 Successor (Assured Periodic),1962-11-05,,103161001001_0034J00000a4YuMQAU
0034J00000a4Z8DQAU,103163001001,6 Successor (Regulated),1973-03-01,,103163001001_0034J00000a4Z8DQAU
0034J00000a4Z5iQAE,103166001003,5 Relevant Person,2011-07-01,,103166001003_0034J00000a4Z5iQAE
0034J00000a4Z5sQAE,103166001003,5 Relevant Person,2011-07-01,,103166001003_0034J00000a4Z5sQAE
003Nz000009ghWUIAY,103166002005,5 Relevant Person,1997-06-24,2122-06-23,103166002005_003Nz000009ghWUIAY
003Nz00000E3jIIIAZ,103166002005,5 Relevant Person,1997-06-24,2122-06-23,103166002005_003Nz00000E3jIIIAZ
0038d0000026VkxAAE,103166003003,5 Relevant Person,2021-09-03,,103166003003_0038d0000026VkxAAE
0034J00000a4Z5EQAU,103166004002,5 Relevant Person,2014-04-24,,103166004002_0034J00000a4Z5EQAU
0034J00000a4Z5TQAU,103166004002,5 Relevant Person,2014-04-24,,103166004002_0034J00000a4Z5TQAU
0034J00000a4Z3iQAE,103166005001,5 Relevant Person,1998-05-29,,103166005001_0034J00000a4Z3iQAE
003Nz000009H9eRIAS,103168001001,2 Tenant,,,103168001001_003Nz000009H9eRIAS
0034J00000a4YtxQAE,103168002005,5 Relevant Person,2017-07-28,,103168002005_0034J00000a4YtxQAE
0034J00000a4Z6MQAU,103175001003,5 Relevant Person,2013-10-28,,103175001003_0034J00000a4Z6MQAU
0034J00000a4Z75QAE,103175001003,5 Relevant Person,2013-10-28,,103175001003_0034J00000a4Z75QAE
0038d00000Ma5edAAB,103175002003,5 Relevant Person,2021-08-23,,103175002003_0038d00000Ma5edAAB
003Nz000005q6UfIAI,103175003003,5 Relevant Person,2023-08-21,,103175003003_003Nz000005q6UfIAI
0034J00000a4Z6SQAU,103175004004,5 Relevant Person,2016-12-07,,103175004004_0034J00000a4Z6SQAU
0038d00000767qSAAQ,103176001004,2 Tenant,2021-02-22,,103176001004_0038d00000767qSAAQ
0038d00000UW9mcAAD,103176002004,5 Relevant Person,2022-12-02,,103176002004_0038d00000UW9mcAAD
0034J00000a4Z7PQAU,103177001005,5 Relevant Person,2016-03-24,,103177001005_0034J00000a4Z7PQAU
0034J00000a4YvlQAE,103177001005,5 Relevant Person,2016-03-24,,103177001005_0034J00000a4YvlQAE
0034J00000a4Z7tQAE,103177002006,5 Relevant Person,2018-06-22,2128-08-28,103177002006_0034J00000a4Z7tQAE
0034J00000a4Z6vQAE,103178001002,5 Relevant Person,2004-06-02,,103178001002_0034J00000a4Z6vQAE
0034J00000a4YuNQAU,103178002001,5 Relevant Person,1990-01-01,,103178002001_0034J00000a4YuNQAU
0034J00000a4YesQAE,103179001002,5 Relevant Person,2008-08-29,,103179001002_0034J00000a4YesQAE
0034J00000a4Z6CQAU,103179002002,5 Relevant Person,2013-12-05,,103179002002_0034J00000a4Z6CQAU
0034J00000a4YuOQAU,103180001004,5 Relevant Person,2018-08-21,,103180001004_0034J00000a4YuOQAU
0034J00000a4Z9zQAE,103180001004,5 Relevant Person,2018-08-21,,103180001004_0034J00000a4Z9zQAE
003Nz000007uXzmIAE,103180002002,5 Relevant Person,2021-09-27,,103180002002_003Nz000007uXzmIAE
003Nz000007uZWvIAM,103180002002,5 Relevant Person,2021-09-27,,103180002002_003Nz000007uZWvIAM
0034J00000a4Z9QQAU,103180003001,5 Relevant Person,1990-01-01,,103180003001_0034J00000a4Z9QQAU
0034J00000a4Z48QAE,103180004001,5 Relevant Person,1990-01-01,,103180004001_0034J00000a4Z48QAE
0034J00000a4Z9GQAU,103180005001,5 Relevant Person,1990-01-01,,103180005001_0034J00000a4Z9GQAU
0034J00000a4YmhQAE,103180006001,5 Relevant Person,1990-01-01,2090-06-23,103180006001_0034J00000a4YmhQAE
0034J00000a4Z6UQAU,103180007002,5 Relevant Person,2012-05-01,,103180007002_0034J00000a4Z6UQAU
0034J00000a4Z9aQAE,103180007002,5 Relevant Person,2012-05-01,,103180007002_0034J00000a4Z9aQAE
0034J00000a4ZA9QAM,103180008003,5 Relevant Person,2015-11-20,,103180008003_0034J00000a4ZA9QAM
0034J00000a4ZAJQA2,103180008003,5 Relevant Person,2015-11-20,,103180008003_0034J00000a4ZAJQA2
0034J00000a4Z9VQAU,103182001001,2 Tenant,1977-01-01,,103182001001_0034J00000a4Z9VQAU
0034J00000a4Z9RQAU,103182001001,2 Tenant,1977-01-01,,103182001001_0034J00000a4Z9RQAU
0034J00000a4Z7jQAE,103187001001,2 Tenant,1982-12-01,,103187001001_0034J00000a4Z7jQAE
0034J00000a4YsYQAU,103187001001,2 Tenant,1982-12-01,,103187001001_0034J00000a4YsYQAU
0034J00000a4Z2gQAE,103195001005,5 Relevant Person,2019-10-31,,103195001005_0034J00000a4Z2gQAE
0034J00000a4Z8hQAE,103195002002,5 Relevant Person,2007-08-01,,103195002002_0034J00000a4Z8hQAE
0034J00000a4Z6HQAU,103196001001,5 Relevant Person,1990-01-01,,103196001001_0034J00000a4Z6HQAU
0034J00000a4Yy5QAE,103196002004,5 Relevant Person,2019-05-02,,103196002004_0034J00000a4Yy5QAE
0034J00000a4YeOQAU,103200001001,2 Tenant,2009-01-22,,103200001001_0034J00000a4YeOQAU
0034J00000a4Z88QAE,103200001001,4 Permitted Occupier,2009-01-22,,103200001001_0034J00000a4Z88QAE
0034J00000a4YrPQAU,103212001002,2 Tenant,2017-05-01,,103212001002_0034J00000a4YrPQAU
0034J00000a4YuEQAU,103213001001,2 Tenant,2003-02-01,,103213001001_0034J00000a4YuEQAU
0034J00000a4Z96QAE,103213001001,2 Tenant,2003-02-01,,103213001001_0034J00000a4Z96QAE
0034J00000a4Z2VQAU,103215001001,2 Tenant,2003-04-01,,103215001001_0034J00000a4Z2VQAU
0034J00000a4Z9LQAU,103215001001,2 Tenant,2003-04-01,,103215001001_0034J00000a4Z9LQAU
0034J00000a4Z9fQAE,103216001001,2 Tenant,2003-06-01,,103216001001_0034J00000a4Z9fQAE
0034J00000a4Z9pQAE,103216001001,4 Permitted Occupier,2003-06-01,,103216001001_0034J00000a4Z9pQAE
0034J00000a4Z49QAE,103216001001,5 Relevant Person,2003-06-01,,103216001001_0034J00000a4Z49QAE
0034J00000a4ZATQA2,103219001001,2 Tenant,2003-04-01,,103219001001_0034J00000a4ZATQA2
0034J00000a4ZAYQA2,103220001001,2 Tenant,2003-08-01,,103220001001_0034J00000a4ZAYQA2
0034J00000a4Z4rQAE,103220001001,4 Permitted Occupier,2003-08-01,,103220001001_0034J00000a4Z4rQAE
0034J00000a4Z4qQAE,103223001001,2 Tenant,2003-01-01,,103223001001_0034J00000a4Z4qQAE
0034J00000a4Z7gQAE,103223001001,4 Permitted Occupier,2003-01-01,,103223001001_0034J00000a4Z7gQAE
0034J00000a4Z50QAE,103223001001,4 Permitted Occupier,2003-01-01,,103223001001_0034J00000a4Z50QAE
0034J00000a4ZA4QAM,103224001001,2 Tenant,2003-06-01,,103224001001_0034J00000a4ZA4QAM
0034J00000a4YmdQAE,103224001001,4 Permitted Occupier,2003-06-01,,103224001001_0034J00000a4YmdQAE
0034J00000a4ZAOQA2,103226001001,2 Tenant,2005-06-01,,103226001001_0034J00000a4ZAOQA2
0034J00000a4YvKQAU,103226001001,4 Permitted Occupier,2005-06-01,,103226001001_0034J00000a4YvKQAU
0034J00000a4YubQAE,103226001001,4 Permitted Occupier,2005-06-01,,103226001001_0034J00000a4YubQAE
0034J00000a4Z3xQAE,103229001001,2 Tenant,2005-05-01,,103229001001_0034J00000a4Z3xQAE
0034J00000a4YuiQAE,103229001001,4 Permitted Occupier,2005-05-01,,103229001001_0034J00000a4YuiQAE
0034J00000a4Z43QAE,103230001001,2 Tenant,2003-11-01,,103230001001_0034J00000a4Z43QAE
0034J00000a4Z9kQAE,103230001001,4 Permitted Occupier,2003-11-01,,103230001001_0034J00000a4Z9kQAE
0034J00000a4Z3zQAE,103231001001,2 Tenant,2011-04-01,,103231001001_0034J00000a4Z3zQAE
0038d0000024P7wAAE,103231001001,4 Permitted Occupier,2011-04-01,,103231001001_0038d0000024P7wAAE
0034J00000a4ZAdQAM,103235001001,2 Tenant,2003-04-01,,103235001001_0034J00000a4ZAdQAM
0034J00000a4Z3yQAE,103235001001,4 Permitted Occupier,2003-04-01,,103235001001_0034J00000a4Z3yQAE
0034J00000a4Z6cQAE,103235001001,4 Permitted Occupier,2003-04-01,,103235001001_0034J00000a4Z6cQAE
0034J00000a4ZAxQAM,103237001001,2 Tenant,2003-08-01,,103237001001_0034J00000a4ZAxQAM
0034J00000a4YyxQAE,103237001001,4 Permitted Occupier,2003-08-01,,103237001001_0034J00000a4YyxQAE
0034J00000a4ZB7QAM,103237001001,4 Permitted Occupier,2003-08-01,,103237001001_0034J00000a4ZB7QAM
0034J00000a4ZAnQAM,103238001001,2 Tenant,2005-02-01,,103238001001_0034J00000a4ZAnQAM
