Unit_id,ERV ,ERV_DATE,Qube_Unit_ID
a1G4J0000025ta2UAA,100,2024-09-30,103137001
a1G4J0000025taCUAQ,250,2024-09-30,103137002
a1G4J0000025tZEUAY,9,2024-09-30,103138001
a1G4J0000025tYfUAI,1,2024-09-30,103138002
a1G4J0000025tYqUAI,7,2024-09-30,103138003
a1G4J0000025tYuUAI,1,2024-09-30,103138004
a1G4J0000025tVcUAI,1,2024-09-30,103139001
a1G4J0000025tXYUAY,50,2024-09-30,103139002
a1G4J00000261NRUAY,1,2024-09-30,103139003
a1G4J0000025tZYUAY,1,2024-09-30,103139004
a1G4J0000025tYLUAY,1,2024-09-30,103141001
a1G4J0000025tYGUAY,9,2024-09-30,103141002
a1G4J0000025ta7UAA,32100,2024-09-30,103150001
a1G4J0000025taMUAQ,17686,2024-09-30,103154001
a1G4J0000025tWpUAI,18460,2024-09-30,103155001
a1G4J0000025talUAA,17576,2024-09-30,103156001
a1G4J0000025taWUAQ,18143,2024-09-30,103157001
a1G4J0000025tXZUAY,21434,2024-09-30,103158001
a1G4J0000025tacUAA,16848,2024-09-30,103161001
a1G4J0000025tcmUAA,16038,2024-09-30,103163001
a1G4J0000025tbjUAA,150,2024-09-30,103166001
a1G4J0000025tZAUAY,200,2024-09-30,103166002
a1G4J0000025tXKUAY,200,2024-09-30,103166003
a1G4J0000025tU0UAI,50,2024-09-30,103166004
a1G4J0000025tbeUAA,50,2024-09-30,103166005
a1G4J0000025tU7UAI,11310,2024-09-30,103168001
a1G4J0000025tWaUAI,100,2024-09-30,103168002
a1G4J0000025tcIUAQ,1,2024-09-30,103175001
a1G4J0000025tZeUAI,150,2024-09-30,103175002
a1G4J0000025tcNUAQ,1,2024-09-30,103175003
a1G4J0000025tcSUAQ,14,2024-09-30,103175004
a1G4J0000025tbLUAQ,100,2024-09-30,103176001
a1G4J0000025td6UAA,50,2024-09-30,103176002
a1G4J0000025tc3UAA,100,2024-09-30,103177001
a1G4J0000025tV3UAI,100,2024-09-30,103177002
a1G4J0000025tX9UAI,1,2024-09-30,103178001
a1G4J0000025taIUAQ,50,2024-09-30,103178002
a1G4J0000025tcDUAQ,125,2024-09-30,103179001
a1G4J0000025tVhUAI,250,2024-09-30,103179002
a1G4J0000025tdQUAQ,25,2024-09-30,103180001
a1G4J0000025tWbUAI,1,2024-09-30,103180002
a1G4J0000025tdGUAQ,1,2024-09-30,103180003
a1G4J0000025tcsUAA,1,2024-09-30,103180004
a1G4J0000025tdBUAQ,25,2024-09-30,103180005
a1G4J0000025tdLUAQ,150,2024-09-30,103180006
a1G4J0000025tWVUAY,200,2024-09-30,103180007
a1G4J0000025tdVUAQ,200,2024-09-30,103180008
