id,Tenancy__r:Contract:PMS_Reference__C
a24Nz000001bWgHIAU,222623094003
a24Nz000001hizhIAA,222623083007
a24Nz000001V7avIAC,222623082003
a24Nz000001c9o5IAA,222623074005
a24Nz000001Y34XIAS,222623071006
a24Nz000001OYG5IAO,222623070004
a24Nz000001bLw9IAE,222623064007
a24Nz000001LnTNIA0,222623008010
a24Nz000001kbGvIAI,222608001004
a24Nz000001aSQDIA2,222606006003
a24Nz000001LpuzIAC,222601004003
a24Nz000001pKqYIAU,222583119005
a24Nz000001oHhpIAE,222583107008
a24Nz000001dmXFIAY,222583093005
a24Nz000001XwB7IAK,222583061004
a24Nz000001VnYXIA0,222583059005
a24Nz000001WAtJIAW,222583047004
a24Nz000001bb1dIAA,222583009004
a24Nz000001kUgrIAE,222581099004
a24Nz000001qGBNIA2,222581092005
a24Nz000001c5pJIAQ,222581086004
a24Nz000001lBfNIAU,222581068006
a24Nz000001ey6XIAQ,222581060002
a24Nz000001L2ELIA0,222581009002
a24Nz000001YfY1IAK,222580054004
a24Nz000001dhpJIAQ,222580032005
a24Nz000001mU9hIAE,222580017005
a24Nz000001otITIAY,222580016004
a24Nz000001Vj57IAC,222579148004
a24Nz000001OF0XIAW,222579114005
a24Nz000001GxZpIAK,222579110007
a24Nz000001ngyPIAQ,222579100003
a24Nz000001E18XIAS,222579092003
a24Nz000001bHPVIA2,222579090001
a24Nz000001frm9IAA,222579089007
a24Nz000001djmHIAQ,222579071005
a24Nz000001XHsjIAG,222579063004
a24Nz000001YY1zIAG,222579046004
a24Nz000001hdAPIAY,222579040006
a24Nz000001ju3tIAA,222579038004
a24Nz000001R3yxIAC,222579027004
a24Nz000001C2LdIAK,222579011003
a24Nz000001PVhaIAG,222578122007
a24Nz000001FfVJIA0,222578119006
a24Nz000001GwibIAC,222578119006
a24Pv000003Xg3ZIAS,222578118001
a24Pv000003Xg0LIAS,222578089005
a24Nz000001mN6bIAE,222578075004
a24Nz000001HmdxIAC,222578034004
a24Nz000001dcrFIAQ,222578028006
a24Nz000001UWTJIA4,222578023003
a24Nz000001lBM2IAM,222578010005
a24Nz000001nh4rIAA,222544001004
a24Nz000001ffjNIAQ,222522051009
a24Nz000000kYOTIA2,222522034008
a24Nz000001dB6HIAU,222521062006
a24Nz000001XI2PIAW,222520011008
a24Nz000001phNJIAY,222520002006
a24Nz000001b2yLIAQ,222491155008
a24Nz000001k4jBIAQ,222491090004
a24Nz000001d8BdIAI,222491060008
a24Nz000001BRM5IAO,222491036009
a24Nz000001mUrFIAU,222491030011
a24Nz000001Ej4jIAC,222491026004
a24Nz000001UDGzIAO,222490012006
a24Nz000001d5daIAA,222490005006
a24Nz000001diNBIAY,222489052005
a24Nz000001J56fIAC,222489051004
a24Nz000001ZvFlIAK,222489030004
a24Nz000001c7vxIAA,222489021005
a24Nz000001dCiHIAU,222488069007
a24Nz000000xIXBIA2,222488063007
a24Nz000001ddIfIAI,222488028008
a24Pv000002ShfBIAS,222488018001
a24Nz000001mWRdIAM,222487053004
a24Nz000001TuCjIAK,222487051002
a24Nz000001iGjdIAE,222487023005
a24Nz000001SQ73IAG,222487018005
a24Nz000001QPAHIA4,222487016008
a24Nz000001UWt7IAG,217371104005
a24Nz0000015MtlIAE,217371092006
a24Nz000001fBF3IAM,217371090008
a24Nz000001lDu5IAE,217371071011
a24Nz000001VJNZIA4,217371031006
a24Nz000001dDMbIAM,217371027008
a24Nz000001XuR3IAK,217371015007
a24Nz000001iIQTIA2,127483078002
a24Nz000001O82IIAS,122603001005
a24Nz000001lBlqIAE,122601004008
a24Nz000001aQY5IAM,122600013004
a24Nz000001izK9IAI,122587021010
a24Nz000001XMveIAG,122586027004
a24Nz000001IK2wIAG,122486098006
a24Nz000001ebMrIAI,122486064004
