id,Tenancy__r:Contract:PMS_Reference__c,ownerid,accountid,recordtypeid,unit__c,status,startdate,tenancy_end_date__c,agreement_type__c,document_type__c,memorandum_of_agreement_date__c,actual_move_out_date__c,uplift_percentage__c,security_deposit_amount__c,break_clause__c,special_clauses__c,special_clause_free_text__c,vehicle_make__c,vehicle_model__c,vehicle_registration__c,opportunity__c,pms_reference__c
800Nz00000CYg9LIAT,317565004006,0058d000004DOMXAA4,001Nz00000AmNr8IAF,012Pv0000027CJSIA2,a1G4J00000262veUAA,Activated,2024-06-22,2025-06-21,AST,AST,,,4.00,2600,No Break,,,,,,006Nz00000AWDHKIA5,317565004006
800Nz00000CYus7IAD,222758255001,0054J000005JWtDQAW,001Nz00000B6yOBIAZ,012Pv0000027CJSIA2,a1GNz00000016UoMAI,Activated,2024-06-15,2025-06-14,AST,AST,,,4.00,1020,No Break,,,,,,006Nz00000AqZvCIAV,222758255001
800Nz00000CZ5pAIAT,222666043004,0058d0000034SvqAAE,001Nz00000At4q2IAB,012Pv0000027CJSIA2,a1G4J000004jygRUAQ,Activated,2024-06-07,2026-06-06,AST,AST,,,4.00,1450,2 at 10 to expire at 12,,,,,,006Nz00000AcrgoIAB,222666043004
800Nz00000CZCsGIAX,222792146001,0054J000004vXOqQAM,001Nz00000AcMWPIA3,012Pv0000027CJSIA2,a1GNz000001HQn7MAG,Activated,2024-06-10,2025-06-09,AST,AST,,,0.00,1570,No Break,,,,,,006Nz00000AMEMkIAP,222792146001
800Nz00000CZFS9IAP,222579008004,0058d0000020feeAAA,001Nz00000BYGgkIAH,012Pv0000027CJSIA2,a1G4J0000025z8KUAQ,Draft,2024-06-20,2025-06-19,AST,AST,,,4.00,1295,No Break,,,,,,006Nz00000BHWA3IAP,222579008004
800Nz00000CZHyWIAX,222758227001,0054J000005JWtDQAW,001Nz00000Ay7nIIAR,012Pv0000027CJSIA2,a1GNz00000016L7MAI,Activated,2024-05-27,2025-05-26,AST,AST,,,4.00,1330,No Break,,,,,,006Nz00000AhuEBIAZ,222758227001
800Nz00000CZNSsIAP,222686114005,0054J000005JWtDQAW,001Nz00000AtyfKIAR,012Pv0000027CJSIA2,a1G8d0000004c8uEAA,Activated,2024-06-19,2025-06-18,AST,AST,,,4.00,1100,No Break,,,,,,006Nz00000AdjXOIAZ,222686114005
800Nz00000CZO8mIAH,222685016003,0058d0000034SvqAAE,001Nz00000Adby5IAB,012Pv0000027CJSIA2,a1G8d0000004Xm7EAE,Activated,2024-06-17,2025-06-16,Licence,Parking Licence,,,6.00,0,No Break,,,,,,006Nz00000AjGu5IAF,222685016003
800Nz00000CZh50IAD,222788040001,0058d0000020feeAAA,001Nz00000AyVUbIAN,012Pv0000027CJSIA2,a1GNz0000019GszMAE,Draft,2024-06-14,2025-06-13,AST,,,,4.00,1550,No Break,,,,,,006Nz00000Ai2rfIAB,222788040001
800Nz00000CZxzBIAT,222788040001,0058d0000020feeAAA,001Nz00000AyVUbIAN,012Pv0000027CJSIA2,a1GNz0000019GszMAE,Draft,2024-06-14,2025-06-13,AST,AST,,,4.00,1550,No Break,,,,,,006Nz00000Ai2rfIAB,222788040001
800Nz00000Ca33iIAB,222649026003,0054J000004vXOaQAM,001Nz00000BXfEAIA1,012Pv0000027CJSIA2,a1G4J0000025y0aUAA,Draft,2024-06-28,2025-06-27,AST,AST,,,4.00,1440,No Break,,,,,,006Nz00000BH2yUIAT,222649026003
800Nz00000CbuQwIAJ,222758092002,0054J000005JWtDQAW,001Nz00000AE4m0IAD,012Pv0000027CJSIA2,a1GNz00000012MLMAY,Activated,2024-06-07,2025-06-06,AST,AST,,,4.00,1305,No Break,,,,,,006Nz000009xtPxIAI,222758092002
800Nz00000Cc31UIAR,222756025002,0054J000004vXOaQAM,001Nz00000AbDyFIAV,012Pv0000027CJSIA2,a1GNz0000000wVSMAY,Activated,2024-05-27,2027-05-26,Licence,Parking Licence,,,6.00,0,No Break,,,,,,006Nz00000BZawjIAD,222756025002
