"parent_reference","salesforce_unit_id","cnt"
"222639106004","a1G4J0000025zGrUAI","2"
"127483074001","a1G4J0000025xXNUAY","2"
"418645024005","a1G4J0000025zY4UAI","2"
"222708219002","a1G8d0000005rJ8EAI","2"
"122700001001","a1G4J0000025x1hUAA","2"
"222677044002","a1G8d0000004D8aEAE","2"
"111225001001","a1G4J0000025vZXUAY","2"
"222517015002","a1G4J0000025xrOUAQ","2"
"104112001002","a1G4J00000261W9UAI","2"
"222678007003","a1G8d0000004D7aEAE","3"
"103920015003","a1G4J0000025ta9UAA","2"
"110447267002","a1G4J0000025uMKUAY","2"
"122506070001","a1G4J0000025wc4UAA","2"
"222594007002","a1G4J0000025xpJUAQ","2"
"115508001001","a1G4J0000025wYoUAI","2"
"110447262001","a1G4J0000025v7qUAA","2"
"222749039002","a1GNz0000000cbZMAQ","2"
"222581021004","a1G4J0000025xzOUAQ","2"
"112848001001","a1G4J0000025vbBUAQ","2"
"222749155001","a1GNz0000000e77MAA","2"
"103086006001","a1G4J0000025tXDUAY","2"
"222744026001","a1G8d000002QBMVEA4","2"
"222650054001","a1G4J0000025yN3UAI","2"
"222557001002","a1G4J0000025xukUAA","4"
"104106001002","a1G4J0000025tW6UAI","2"
"317584003009","a1G4J00000262w3UAA","3"
"222686038002","a1G8d0000004c49EAA","2"
"418588003002","a1G4J0000025ze2UAA","3"
"418645128003","a1G4J00000260BoUAI","2"
"222792173001","a1GNz000001HRHlMAO","3"
"418619006001","a1G4J0000025zcQUAQ","2"
"122528021003","a1G4J0000025x3lUAA","2"
"222621014006","a1G4J0000025y2yUAA","2"
"222582101001","a1G4J0000025xmQUAQ","2"
"106586001001","a1G4J0000025ue5UAA","2"
"127246001001","a1G4J0000025wzTUAQ","2"
"222650071003","a1G4J0000025yY9UAI","2"
"418564038001","a1G4J0000025zVaUAI","2"
"115777001003","a1G4J0000025wfaUAA","2"
"222643102002","a1G4J0000025yLhUAI","2"
"104174032005","a1G4J0000025tfBUAQ","2"
"222683190002","a1G8d0000004XZhEAM","2"
"122506220001","a1G4J0000025x7EUAQ","2"
"122528008005","a1G4J0000025wt1UAA","2"
"217371113005","a1G4J0000025yN4UAI","2"
"222594001001","a1G4J0000025xs9UAA","2"
"108620008001","a1G4J0000025uKsUAI","2"
"112691002001","a1G4J00000261z4UAA","2"
"222648178002","a1G4J0000025yKPUAY","2"
"122587003004","a1G4J0000025wy4UAA","2"
"222749290001","a1GNz0000000bCTMAY","2"
"418549028006","a1G4J0000025zvkUAA","2"
"127262167002","a1G4J0000025xOfUAI","2"
"418576049005","a1G4J0000025zDuUAI","3"
"122486049008","a1G4J0000025wlzUAA","2"
"216546001001","a1G4J0000025xGsUAI","2"
"418574006015","a1G4J0000025zofUAA","2"
"222737214001","a1G8d000002QBmOEAW","2"
"222683003003","a1G8d0000004XbsEAE","2"
"222489018005","a1G4J0000025xveUAA","2"
"109833002005","a1G4J0000025v3uUAA","2"
"115642001003","a1G4J0000025wdiUAA","2"
"317630014003","a1G4J00000262yzUAA","3"
"317640006003","a1G4J00000262yOUAQ","2"
"112863001003","a1G4J00000262JpUAI","2"
"222580048005","a1G4J0000025ygKUAQ","3"
"222649054002","a1G4J0000025yS4UAI","2"
"122050001001","a1G4J0000025wolUAA","2"
"317352030002","a1G4J0000025yp9UAA","2"
"127212001002","a1G4J0000025wmdUAA","2"
"222579008004","a1G4J0000025z8KUAQ","2"
"317479002003","a1G4J00000262toUAA","2"
"222758336003","a1GNz00000016ubMAA","2"
"418579028006","a1G4J0000025zZxUAI","3"
"418637014002","a1G4J0000025znjUAA","2"
"222624053004","a1G4J0000025y9IUAQ","2"
"127042001002","a1G4J0000025xBBUAY","2"
"103830001001","a1G4J0000025tpdUAA","2"
"103942001003","a1G4J0000025tpfUAA","2"
"222649003005","a1G4J0000025yR0UAI","2"
"217371072004","a1G4J0000025yGsUAI","2"
"222708080003","a1G8d0000005rEtEAI","3"
"127866001001","a1GNz000004TMPRMA4","2"
"111107001001","a1G4J0000025vYEUAY","2"
"114080001001","a1G4J0000025uraUAA","2"
"104412001004","a1G4J0000025uI9UAI","2"
"127057050001","a1G4J0000025xALUAY","2"
"222666082001","a1G4J000004jyllUAA","2"
"127778001001","a1GNz0000000zY9MAI","2"
"222708201001","a1G8d0000005rGxEAI","2"
"222650004003","a1G4J0000025yMcUAI","2"
"418575039003","a1G4J0000025zfzUAA","3"
"217093001002","a1G4J0000025xi1UAA","2"
"113604001005","a1G4J0000025vC1UAI","2"
"222630155004","a1G4J0000025zFlUAI","2"
"115467002005","a1G4J0000025wXzUAI","2"
"222686135003","a1G8d0000004c6HEAQ","2"
"318312009001","a1G4J0000025zW5UAI","2"
"418617005002","a1G4J0000025zrjUAA","2"
"112850002002","a1G4J0000025vwuUAA","2"
"111122001003","a1G4J0000025vYcUAI","2"
"222737141002","a1G8d000002QBetEAG","2"
"111867035002","a1G4J00000261uLUAQ","2"
"104457008005","a1G4J0000025uBGUAY","2"
"113730001001","a1G4J0000025vtwUAA","2"
"127698003001","a1G8d0000004j5bEAA","2"
"217371101003","a1G4J0000025y5cUAA","2"
"111298001002","a1G4J0000025vNxUAI","2"
"222630067002","a1G4J0000025zFrUAI","2"
"222666023001","a1G4J000004jyeVUAQ","2"
"222752148001","a1GNz0000000zDBMAY","2"
"222578060003","a1G4J0000025ykJUAQ","3"
"222678014003","a1G8d0000004D97EAE","3"
"222648070002","a1G4J0000025wiDUAQ","3"
"222534001001","a1G4J0000025xrCUAQ","2"
"418645056006","a1G4J000002603aUAA","2"
"222744113001","a1G8d000002QBSxEAO","2"
"222708082002","a1G8d0000005rULEAY","2"
"112253001004","a1G4J0000025vlCUAQ","2"
"222683059004","a1G8d0000004XffEAE","2"
"222639011003","a1G4J0000025zIoUAI","2"
"318304008003","a1G4J00000263CWUAY","2"
"104447001005","a1G4J0000025uA3UAI","2"
"222737084001","a1G8d000002QBb6EAG","2"
"222676102003","a1G8d0000004DEcEAM","2"
"222579142004","a1G4J0000025yogUAA","2"
"222579035003","a1G4J0000025z4TUAQ","2"
"222708232001","a1G8d0000005rKkEAI","2"
"418570024001","a1G4J0000025zmfUAA","3"
"418636020003","a1G4J0000026081UAA","2"
"222666145002","a1G4J000004jyrAUAQ","2"
"222520060007","a1G4J0000025yJVUAY","2"
"222676037003","a1G8d0000004DCfEAM","2"
"222737193001","a1G8d000002QBk3EAG","2"
"104206024004","a1G4J0000025u9hUAA","2"
"111867118007","a1G4J0000026241UAA","2"
"418565048002","a1G4J0000025zrzUAA","2"
"222752157001","a1GNz0000000xHrMAI","2"
"112701002002","a1G4J0000025vusUAA","2"
"317373014001","a1G4J00000260bJUAQ","3"
"317472003003","a1G4J00000262qjUAA","2"
"418607001005","a1G4J0000025zj1UAA","4"
"127175001002","a1G4J0000025xHnUAI","2"
"103662004001","a1G4J00000261T5UAI","2"
"105099012005","a1G4J0000025uG0UAI","2"
"222749013002","a1GNz0000000c8XMAQ","2"
"222584007004","a1G4J0000025xs2UAA","2"
"222606012002","a1G4J0000025y3nUAA","2"
"222659100002","a1G4J0000025ybGUAQ","2"
"222521057006","a1G4J0000025y5dUAA","2"
"115625001003","a1G4J0000025wcuUAA","2"
"317352060004","a1G4J0000025zE6UAI","2"
"222677016004","a1G8d0000004DBXEA2","2"
"222579033007","a1G4J0000025zEHUAY","2"
"127710001001","a1G8d00000059otEAA","2"
"113586002002","a1G4J0000025w18UAA","2"
"104294012003","a1G4J0000025tjzUAA","2"
"104114002003","a1G4J00000261W4UAI","2"
"317667019013","a1G4J0000025yTjUAI","2"
"107652004002","a1G4J0000025uotUAA","2"
"222648165001","a1G4J0000025xpoUAA","4"
"127380002001","a1G4J0000025wl2UAA","2"
"222630048004","a1G4J0000025zKPUAY","2"
"222487015001","a1G4J0000025xSNUAY","2"
"107806001002","a1G4J0000025uqWUAQ","3"
"418549055003","a1G4J0000025yrqUAA","2"
"222578052003","a1G4J0000025y9XUAQ","2"
"107570007001","a1G4J00000261gxUAA","2"
