product2id,pricebook2id,unitprice,rent_periodicity__c,isactive
01t8d000000nYpYAAU,01sPv000002kqTxIAI,1285.92,Monthly,TRUE
01t8d000000nYpYAAU,01sPv000002kqTyIAI,1292.3,Monthly,TRUE
01t8d000000nYpYAAU,01sPv000002kqTzIAI,1298.5,Monthly,TRUE
01t8d000000nYpZAAU,01sPv0000038lL1IAI,1331.57,Monthly,TRUE
01t8d000000nYpZAAU,01sPv0000038lL2IAI,1337.97,Monthly,TRUE
01t8d000000nYpZAAU,01sPv0000038lKzIAI,1344.6,Monthly,TRUE
01t8d000000nYpZAAU,01sPv0000038lL0IAI,1351.27,Monthly,TRUE
01t8d000000nYpZAAU,01sPv00000246dZIAQ,1357.33,Monthly,TRUE
01t8d000000nYpZAAU,01sPv000002kqTtIAI,1364.06,Monthly,TRUE
01t8d000000nYpZAAU,01sPv000002kqTuIAI,1370.61,Monthly,TRUE
01t8d000000nYpZAAU,01sPv000002kqTvIAI,1377.41,Monthly,TRUE
01t8d000000nYpZAAU,01sPv000002kqTwIAI,1384.02,Monthly,TRUE
01t8d000000nYpZAAU,01sPv000002kqTxIAI,1390.89,Monthly,TRUE
01t8d000000nYpZAAU,01sPv000002kqTyIAI,1397.79,Monthly,TRUE
01t8d000000nYpZAAU,01sPv000002kqTzIAI,1404.5,Monthly,TRUE
01t8d000000oE4iAAE,01sPv0000038lL1IAI,1813.95,Monthly,TRUE
01t8d000000oE4iAAE,01sPv0000038lL2IAI,1822.66,Monthly,TRUE
01t8d000000oE4iAAE,01sPv0000038lKzIAI,1831.71,Monthly,TRUE
01t8d000000oE4iAAE,01sPv0000038lL0IAI,1840.79,Monthly,TRUE
01t8d000000oE4iAAE,01sPv00000246dZIAQ,1849.04,Monthly,TRUE
01t8d000000oE4iAAE,01sPv000002kqTtIAI,1858.21,Monthly,TRUE
01t8d000000oE4iAAE,01sPv000002kqTuIAI,1867.13,Monthly,TRUE
01t8d000000oE4iAAE,01sPv000002kqTvIAI,1876.4,Monthly,TRUE
01t8d000000oE4iAAE,01sPv000002kqTwIAI,1885.4,Monthly,TRUE
01t8d000000oE4iAAE,01sPv000002kqTxIAI,1894.76,Monthly,TRUE
01t8d000000oE4iAAE,01sPv000002kqTyIAI,1904.16,Monthly,TRUE
01t8d000000oE4iAAE,01sPv000002kqTzIAI,1913.3,Monthly,TRUE
