"pms_reference","opportunity_id","opportunity_agreement_type","tenancy_agreement_type"
"222491110009","006Nz00000Q6X3NIAV","Parking Licence","Licence"
"222491113003","006Nz00000JVMB4IAP","Parking Licence","Licence"
"222491113003","006Nz00000Kp7SDIAZ","Parking Licence","Licence"
"222491122006","006Nz000009VKlFIAW","Parking Licence","Licence"
"222491122006","006Nz00000OEd2BIAT","Parking Licence","Licence"
"222491123003","006Nz00000SU7vFIAT","Parking Licence","Licence"
"222491129005","006Nz000008TI0AIAW","Parking Licence","Licence"
"222491129005","006Nz00000MBgh9IAD","Parking Licence","Licence"
"222491130008","006Nz00000HdPWIIA3","Parking Licence","Licence"
"222491131004","006Nz000006KyUQIA0","Parking Licence","Licence"
"222491131004","006Nz00000KBmkOIAT","Parking Licence","Licence"
"222491133005","006Nz000009HbKZIA0","Parking Licence","Licence"
"222491133005","006Nz00000MkeNbIAJ","Parking Licence","Licence"
"222491133005","006Nz00000Mkk05IAB","Parking Licence","Licence"
"222491141003","006Nz00000AsZMTIA3","Parking Licence","Licence"
"222491143003","006Nz00000SPVQKIA5","Parking Licence","Licence"
"222491150007","006Nz00000LVSvGIAX","Parking Licence","Licence"
"222491150007","006Nz00000OEeHaIAL","Parking Licence","Licence"
"222491152004","006Nz00000QSTo9IAH","Parking Licence","Licence"
"222491155008","006Nz00000G7I78IAF","Parking Licence","Licence"
"222491155008","006Nz00000ORzjHIAT","Parking Licence","Licence"
"222491155008","006Nz00000TipB2IAJ","Parking Licence","Licence"
"222491156006","006Nz00000C9bPgIAJ","Parking Licence","Licence"
"222491156006","006Nz00000QyOVEIA3","Parking Licence","Licence"
"222491160006","006Nz0000094fnNIAQ","Parking Licence","Licence"
"222491160006","006Nz00000ND4NGIA1","Parking Licence","Licence"
"222491165005","006Nz00000JS8cYIAT","Parking Licence","Licence"
"222491166004","006Nz00000AsedrIAB","Parking Licence","Licence"
"222491166004","006Nz00000PMHv9IAH","Parking Licence","Licence"
"222491168006","006Nz00000EmnUdIAJ","Parking Licence","Licence"
"222491168006","006Nz00000T3HOhIAN","Parking Licence","Licence"
"222491170006","006Nz00000CC5mhIAD","Parking Licence","Licence"
"222491170006","006Nz00000CEYv3IAH","Parking Licence","Licence"
"222491170006","006Nz00000SV1vsIAD","Parking Licence","Licence"
"222491173004","006Nz00000JFtCcIAL","Parking Licence","Licence"
"222491174005","006Nz00000JLCG9IAP","Parking Licence","Licence"
"222520072007","006Nz00000EJAwTIAX","Parking Licence","Licence"
"222520072007","006Nz00000T7IlwIAF","Parking Licence","Licence"
"222520073007","006Nz00000RyAszIAF","Parking Licence","Licence"
"222520073007","006Nz00000U8n7NIAR","Parking Licence","Licence"
"222520074005","006Nz00000MMiKIIA1","Parking Licence","Licence"
"222520074005","006Nz00000Q6X3MIAV","Parking Licence","Licence"
"222520075007","006Nz00000OGP1SIAX","Parking Licence","Licence"
"222520078005","006Nz00000PpsftIAB","Parking Licence","Licence"
"222520084004","006Nz00000Jx2PTIAZ","Parking Licence","Licence"
"222520086005","006Nz000006xsIgIAI","Parking Licence","Licence"
"222520086005","006Nz00000KAZygIAH","Parking Licence","Licence"
"222520088003","006Nz00000IXZ7xIAH","Parking Licence","Licence"
"222520104003","006Nz00000B8cTBIAZ","Parking Licence","Licence"
"222520104003","006Nz00000P57QiIAJ","Parking Licence","Licence"
"222520113003","006Nz00000J7Zm8IAF","Parking Licence","Licence"
"222520119004","006Nz00000GNEvgIAH","Parking Licence","Licence"
"222520119004","006Nz00000U8n7PIAR","Parking Licence","Licence"
"222521069005","006Nz00000Qz0nLIAR","Parking Licence","Licence"
"222521069005","006Nz00000SzPZFIA3","Parking Licence","Licence"
"222521071005","006Nz00000J7Qm5IAF","Parking Licence","Licence"
"222521071005","006Nz00000LB8ixIAD","Parking Licence","Licence"
"222522073006","006Nz00000Ti5WRIAZ","Parking Licence","Licence"
"222522074005","006Nz00000SxRfDIAV","Parking Licence","Licence"
"222522077005","006Nz00000IhyReIAJ","Parking Licence","Licence"
"222522078005","006Nz00000OzyvuIAB","Parking Licence","Licence"
"222522080005","006Nz00000PU3JpIAL","Parking Licence","Licence"
"222522082005","006Nz00000GWEMvIAP","Parking Licence","Licence"
"222522082005","006Nz00000UFkBIIA1","Parking Licence","Licence"
"222522093006","006Nz00000CiKfFIAV","Parking Licence","Licence"
"222522093006","006Nz00000RWmwhIAD","Parking Licence","Licence"
"222522099003","006Nz00000DkZg3IAF","Parking Licence","Licence"
"222522099003","006Nz00000S9Vm7IAF","Parking Licence","Licence"
"222522101005","006Nz00000CI0sIIAT","Parking Licence","Licence"
"222522101005","006Nz00000D4WxvIAF","Parking Licence","Licence"
"222522101005","006Nz00000MOJg5IAH","Parking Licence","Licence"
"222522101005","006Nz00000QUbOEIA1","Parking Licence","Licence"
"222531002002","006Nz00000SWQiVIAX","Parking Licence","Licence"
"222538004001","006Nz000006vAYiIAM","Parking Licence","Licence"
"222549002002","006Nz00000U6QcrIAF","Parking Licence","Licence"
"222549003002","006Nz00000U6CBlIAN","Parking Licence","Licence"
"222583002006","006Nz00000Iqc3iIAB","Parking Licence","Licence"
"222583002006","006Nz00000NPeI1IAL","Parking Licence","Licence"
"222583003004","006Nz00000SJiwXIAT","Parking Licence","Licence"
"222583004007","006Nz00000Soo7xIAB","Parking Licence","Licence"
"222583009004","006Nz00000EJokDIAT","Parking Licence","Licence"
"222583009004","006Nz00000SrFFiIAN","Parking Licence","Licence"
"222583017007","006Nz00000PqS6hIAF","Parking Licence","Licence"
"222583019003","006Nz00000EVQRBIA5","Parking Licence","Licence"
"222583019003","006Nz00000TowcoIAB","Parking Licence","Licence"
"222583020006","006Nz00000OytztIAB","Parking Licence","Licence"
"222583021005","006Nz00000AknhWIAR","Parking Licence","Licence"
"222583021005","006Nz00000P1zSuIAJ","Parking Licence","Licence"
"222583024006","006Nz00000MidvRIAR","Parking Licence","Licence"
"222583026006","006Nz00000MqpOMIAZ","Parking Licence","Licence"
"222583027005","006Nz00000R8f9kIAB","Parking Licence","Licence"
"222583030004","006Nz00000PdvOFIAZ","Parking Licence","Licence"
"222583031003","006Nz00000ALvtdIAD","Parking Licence","Licence"
"222583031003","006Nz00000OOzaqIAD","Parking Licence","Licence"
"222583035002","006Nz00000RJ3dlIAD","Parking Licence","Licence"
"222583036007","006Nz00000NV7jDIAT","Parking Licence","Licence"
"222583036007","006Nz00000Tl9btIAB","Parking Licence","Licence"
"222583037005","006Nz00000P2CZtIAN","Parking Licence","Licence"
"222583039007","006Nz00000M2e3IIAR","Parking Licence","Licence"
"222583042005","006Nz00000ITjXIIA1","Parking Licence","Licence"
"222583044006","006Nz00000IiQR6IAN","Parking Licence","Licence"
"222583046005","006Nz00000KWKjXIAX","Parking Licence","Licence"
"222583047004","006Nz00000ELc3wIAD","Parking Licence","Licence"
"222583047004","006Nz00000GIRN9IAP","Parking Licence","Licence"
"222583047004","006Nz00000Su9C8IAJ","Parking Licence","Licence"
"222583049005","006Nz00000DcaXeIAJ","Parking Licence","Licence"
"222583049005","006Nz00000S0G9eIAF","Parking Licence","Licence"
"222583052007","006Nz00000NtWTSIA3","Parking Licence","Licence"
