id,Tenancy__r:Contract:PMS_Reference__C
a24Nz000004ulA1IAI,222753016002
a24Nz000004sJGHIA2,222753008001
a24Nz000004KuwbIAC,222752160001
a24Nz000004cSKLIA2,222752156001
a24Nz000004zSJdIAM,222752118003
a24Nz000004xyqfIAA,222752111002
a24Nz000004cMlBIAU,222752103001
a24Nz000004nHTdIAM,222752094002
a24Nz000004lY8oIAE,222752078001
a24Nz000004d8wHIAQ,222752076001
a24Nz000004dTe9IAE,222752072001
a24Nz000004vtn4IAA,222752069001
a24Nz0000050d06IAA,222752063002
a24Nz000004rQJpIAM,222752055001
a24Nz000004cMejIAE,222752042002
a24Nz000004kS0bIAE,222752039001
a24Nz000004iySnIAI,222752031002
a24Nz000004pvGTIAY,222752008001
a24Nz000004Xj8vIAC,222749292001
a24Nz000004kaCfIAI,222749282001
a24Nz000004wY2DIAU,222749262001
a24Nz000004rGcDIAU,222749248001
a24Nz000004y0sTIAQ,222749219003
a24Nz000004xuofIAA,222749197001
a24Nz000004xujpIAA,222749189001
a24Nz000004Zia9IAC,222749178001
a24Nz000004Y6lRIAS,222749157001
a24Nz000004msGjIAI,222749150002
a24Nz000004wELGIA2,222749134001
a24Nz000004qx05IAA,222749114001
a24Nz000004t2gPIAQ,222749102001
a24Nz000004nFA5IAM,222749062001
a24Nz000004xxcsIAA,222749036001
a24Nz000004um4TIAQ,222749021001
a24Nz000004okN7IAI,222749018001
a24Nz000004toczIAA,222749013002
a24Nz000004gFOXIA2,222749009002
a24Nz000004liZZIAY,222748065001
a24Nz000004gE4HIAU,222748051001
a24Nz000004lPThIAM,222748044001
a24Nz000004tsNFIAY,222748036001
a24Nz000004YN1VIAW,222748027001
a24Nz000004YMYTIA4,222748022001
a24Nz000004XqVNIA0,222748002001
a24Nz000002L5OXIA0,222744126001
a24Nz000004GkPhIAK,222744122001
a24Nz00000428buIAA,222744112002
a24Nz000004YrUDIA0,222744085001
a24Nz000002R6kvIAC,222744085001
a24Nz0000050z0bIAA,222744077002
a24Nz000004ujwDIAQ,222744068001
a24Nz0000050Y6rIAE,222744048001
a24Nz000004DJybIAG,222744041001
a24Nz000004jshtIAA,222744033001
a24Nz000004CRmvIAG,222743005002
a24Nz000004uheHIAQ,222741087001
a24Nz000004x6NFIAY,222741074002
a24Nz000004pRlRIAU,222741058001
a24Nz000004j93FIAQ,222741050001
a24Nz000004ltLJIAY,222741015001
a24Nz000004X0GfIAK,222741014001
a24Nz000004nWcMIAU,222741013002
a24Nz000004ScCvIAK,222741002003
a24Nz00000518ycIAA,222737253002
a24Nz000004KwjtIAC,222737223003
a24Nz0000050QXVIA2,222737211004
a24Nz000004kfnRIAQ,222737201002
a24Nz0000051IknIAE,222737192002
a24Nz000004sskHIAQ,222737182001
a24Nz0000050LHhIAM,222737167001
a24Nz0000050cQbIAI,222737120002
a24Nz0000051GhNIAU,222737104001
a24Nz000004h4SfIAI,222737103003
a24Nz000004iS7xIAE,222737099001
a24Nz000004wGoTIAU,222737086002
a24Nz000004oAgDIAU,222737079001
a24Nz000004234LIAQ,222737075002
a24Nz00000527KHIAY,222737074002
a24Nz000004EJOfIAO,222737061001
a24Nz000001f6aLIAQ,222737061001
a24Nz000004qfrBIAQ,222737059002
a24Nz000004SghxIAC,222737030003
a24Nz000004gebRIAQ,222737010003
a24Nz000004OmijIAC,222727001001
a24Nz000004whgbIAA,222722001001
a24Nz0000051yVVIAY,222714001001
a24Nz000004jq09IAA,222710161001
a24Nz000004p1z3IAA,222710135001
a24Nz000004p1pNIAQ,222710134001
a24Nz000004L2EDIA0,222710117001
a24Nz000004OD1pIAG,222710117001
a24Nz000004jqTBIAY,222710096002
a24Nz000004p23tIAA,222710091001
a24Nz0000052Qd3IAE,222710088002
a24Nz000004nXi6IAE,222708261001
a24Nz000004qpaPIAQ,222708244002
a24Nz000004jDbVIAU,222708241003
