"PMS_Reference__c","tenancy_status__c","status"
"104285001001","Current","Activated"
"104311001001","Current","Activated"
"103262001001","Current","Activated"
"104152062003","Current","Activated"
"104152065002","Current","Activated"
"104152073003","Current","Activated"
"103384001001","Current","Activated"
"103597001001","Current","Activated"
"103786011001","Current","Activated"
"103470001001","Current","Activated"
"104152040006","Current","Activated"
"103426002001","Current","Activated"
"104152022006","Current","Activated"
"104152119001","Current","Activated"
"103391001001","Current","Activated"
"103854001003","Current","Activated"
"103958001003","Current","Activated"
"103386001002","Current","Activated"
"104223012004","Current","Activated"
"103386002005","Current","Activated"
"103498001001","Current","Activated"
"103580001001","Current","Activated"
"105882002001","Current","Activated"
"104154021003","Current","Activated"
"104152054003","Current","Activated"
"104647002008","Current","Activated"
"103398001001","Current","Activated"
"103412001004","Current","Activated"
"104093001002","Current","Activated"
"104197004005","Current","Activated"
"103414002002","Current","Activated"
"109149001001","Current","Activated"
"103448010001","Current","Activated"
"822090001001","Current","Activated"
"103937001003","Current","Activated"
"103423001001","Current","Activated"
"103423002001","Current","Activated"
"104027001002","Current","Activated"
"104152005002","Current","Activated"
"104308001006","Current","Activated"
"104663001004","Current","Activated"
"103424004001","Current","Activated"
"103818001006","Current","Activated"
"104475001001","Current","Activated"
"103432001001","Current","Activated"
"103577001002","Current","Activated"
"103891001004","Current","Activated"
"103443001002","Current","Activated"
"103435001001","Current","Activated"
"103780003002","Current","Activated"
"104152044003","Current","Activated"
"103448002002","Current","Activated"
"104025001001","Current","Activated"
"104152014002","Current","Activated"
"104371002007","Current","Activated"
"103460001002","Current","Activated"
"104047002006","Current","Activated"
"104457029004","Current","Activated"
"103460002001","Current","Activated"
"104490001002","Current","Activated"
"105073002001","Current","Activated"
"103448003001","Current","Activated"
"103999001003","Current","Activated"
"103448004003","Current","Activated"
"103558002001","Current","Activated"
"104099001002","Current","Activated"
"103448005001","Current","Activated"
"103448009002","Current","Activated"
"111768001002","Current","Activated"
"103448011005","Current","Activated"
"103448019001","Current","Activated"
"103591001001","Current","Activated"
"104805002002","Current","Activated"
"110484001002","Current","Activated"
"104003001006","Current","Activated"
"104294012003","Current","Activated"
"104722034004","Current","Activated"
"104029001001","Current","Activated"
"104110002006","Current","Activated"
"103481001002","Current","Activated"
"103914001003","Current","Activated"
"104013001002","Current","Activated"
"104060001002","Current","Activated"
"104152077006","Current","Activated"
"104152089003","Current","Activated"
"104186005002","Current","Activated"
"103905001002","Current","Activated"
"103491001001","Current","Activated"
"103713003002","Current","Activated"
"104076001003","Current","Activated"
"103505004001","Current","Activated"
"103805001002","Current","Activated"
"103916001004","Current","Activated"
"104102001004","Current","Activated"
"104145005001","Current","Activated"
"113860001001","Current","Activated"
"103780001001","Current","Activated"
"103975001002","Current","Activated"
"103992001001","Current","Activated"
"103554001001","Current","Activated"
"104186008004","Current","Activated"
"103547001001","Current","Activated"
"104367001001","Current","Activated"
"103508001001","Current","Activated"
"103897001003","Current","Activated"
"103875001005","Current","Activated"
"103932001004","Current","Activated"
"103562001001","Current","Activated"
"104395002002","Current","Activated"
"104455007002","Current","Activated"
"103499001001","Current","Activated"
"104772003003","Current","Activated"
"104721019003","Current","Activated"
"103558001001","Current","Activated"
"103780002003","Current","Activated"
"103562002001","Current","Activated"
"104154028003","Current","Activated"
"104223022002","Current","Activated"
"103505002001","Current","Activated"
"104174062001","Current","Activated"
"104721006004","Current","Activated"
"104200003002","Current","Activated"
"104477001006","Current","Activated"
"103569001001","Current","Activated"
"103726002003","Current","Activated"
"103578002004","Current","Activated"
"104020001002","Current","Activated"
"104079002001","Current","Activated"
"104377002004","Current","Activated"
"104358001006","Current","Activated"
"103576001001","Current","Activated"
"103698001002","Current","Activated"
"103784003001","Current","Activated"
"104150001001","Current","Activated"
"104122018002","Current","Activated"
"103608001002","Current","Activated"
"103752001001","Current","Activated"
"103924001004","Current","Activated"
"104466002002","Current","Activated"
"103605001001","Current","Activated"
"105817001001","Current","Activated"
"110076001006","Current","Activated"
"107522007001","Current","Activated"
"104174010002","Current","Activated"
"104350006001","Current","Activated"
"103592001001","Current","Activated"
"103699001001","Current","Activated"
"103603001004","Current","Activated"
"103682002002","Current","Activated"
"104724002002","Current","Activated"
"103616001001","Current","Activated"
"103878001001","Current","Activated"
"103626001002","Current","Activated"
"103935001002","Current","Activated"
"103628001003","Current","Activated"
"104165006006","Current","Activated"
"104455043001","Current","Activated"
"103995001003","Current","Activated"
"111769001003","Current","Activated"
"103869001002","Current","Activated"
"104093002001","Current","Activated"
"104217001004","Current","Activated"
"104223008002","Current","Activated"
"104455016001","Current","Activated"
"104059001001","Current","Activated"
"104154027004","Current","Activated"
"104154024007","Current","Activated"
"104152048001","Current","Activated"
"103973001002","Current","Activated"
"104018001004","Current","Activated"
"104152024002","Current","Activated"
"103671001002","Current","Activated"
"104012001003","Current","Activated"
"103996001004","Current","Activated"
"104455013001","Current","Activated"
"107984004003","Current","Activated"
"108620010001","Current","Activated"
"103673001001","Current","Activated"
"103956001004","Current","Activated"
"104109001003","Current","Activated"
"104203034002","Current","Activated"
"103702001001","Current","Activated"
"103705001001","Current","Activated"
"103920016005","Current","Activated"
"104365002003","Current","Activated"
"103713001003","Current","Activated"
"103713004003","Current","Activated"
"110030032002","Current","Activated"
"110030024002","Current","Activated"
"109788070001","Current","Activated"
"103713002004","Current","Activated"
"103830001001","Current","Activated"
"103920010002","Current","Activated"
"103942001003","Current","Activated"
"103729002003","Current","Activated"
"103729001002","Current","Activated"
"104174054002","Current","Activated"
"103730001004","Current","Activated"
"103726001002","Current","Activated"
"104772002003","Current","Activated"
"104721025004","Current","Activated"
"103728001001","Current","Activated"
"104047004002","Current","Activated"
"104096002002","Current","Activated"
"103986001006","Current","Activated"
"104494001008","Current","Activated"
"104457026002","Current","Activated"
"104231002002","Current","Activated"
"103739002004","Current","Activated"
"103931001003","Current","Activated"
"103739001003","Current","Activated"
"103805002001","Current","Activated"
"103785007001","Current","Activated"
"104073001002","Current","Activated"
"104992001006","Current","Activated"
"104174021001","Current","Activated"
"103882001003","Current","Activated"
"104006001002","Current","Activated"
"104174067002","Current","Activated"
"103778001001","Current","Activated"
"104191002001","Current","Activated"
"104095002002","Current","Activated"
"104416001008","Current","Activated"
"103853002003","Current","Activated"
"104092001003","Current","Activated"
"104478001003","Current","Activated"
"127137001002","Current","Activated"
"127518001001","Current","Activated"
"104460001004","Current","Activated"
"104455034001","Current","Activated"
"103949001001","Current","Activated"
"106558001001","Current","Activated"
"103902001002","Current","Activated"
"104174038003","Current","Activated"
"103920002002","Current","Activated"
"103957001004","Current","Activated"
"104152064004","Current","Activated"
"103948001003","Current","Activated"
"104174072001","Current","Activated"
"104407006005","Current","Activated"
"103791001001","Current","Activated"
"108981001001","Current","Activated"
"107697006001","Current","Activated"
"107723006002","Current","Activated"
"103959001001","Current","Activated"
"107777001001","Current","Activated"
"104114001002","Current","Activated"
"104174059003","Current","Activated"
"104231005003","Current","Activated"
"104174006002","Current","Activated"
"104721020003","Current","Activated"
"103985001005","Current","Activated"
"104038002005","Current","Activated"
"103807001002","Current","Activated"
"104152049004","Current","Activated"
"104385002006","Current","Activated"
"103869002002","Current","Activated"
"104350018003","Current","Activated"
"103774012001","Current","Activated"
"104074001001","Current","Activated"
"104152032002","Current","Activated"
"104189003001","Current","Activated"
"104186010002","Current","Activated"
"104165005003","Current","Activated"
"104236003003","Current","Activated"
"112515002001","Current","Activated"
"104011001002","Current","Activated"
